Index,R,G,B
0,9,71,915
1,29,42,659
2,36,26,645
3,47,38,566
4,43,37,500
5,41,19,419
6,62,39,396
7,57,47,380
8,50,34,357
9,43,46,402
10,50,41,441
11,64,47,472
12,73,53,472
13,66,52,515
14,86,55,595
15,86,57,595
16,87,63,682
17,108,62,782
18,132,81,838
19,120,85,904
20,129,89,953
21,162,118,949
22,147,97,1013
23,151,149,1002
24,183,189,1125
25,206,237,1135
26,187,208,1140
27,200,217,1110
28,198,204,1160
29,227,249,1248
30,267,267,1305
31,250,286,1368
32,234,265,1422
33,304,350,1449
34,321,429,1380
35,343,428,1442
36,386,493,1337
37,424,595,1368
38,432,647,1370
39,399,681,1329
40,427,668,1366
41,435,620,1316
42,526,542,1305
43,580,537,1261
44,647,532,1390
45,750,546,1290
46,850,518,1326
47,879,550,1376
48,931,543,1407
49,851,578,1373
50,881,598,1392
51,901,617,1313
52,886,626,1322
53,878,601,1369
54,889,649,1322
55,858,623,1320
56,887,665,1221
57,925,633,1255
58,970,643,1154
59,966,604,1185
60,945,673,1125
61,898,692,1158
62,959,768,1201
63,921,732,1195
64,944,735,1141
65,891,781,1104
66,918,756,1138
67,891,749,1161
68,914,677,1148
69,886,744,1045
70,895,761,1053
71,864,744,1055
72,885,819,978
73,881,796,988
74,901,845,974
75,855,865,904
76,867,904,893
77,889,857,948
78,846,892,850
79,897,887,910
80,868,893,934
81,824,909,838
82,889,878,845
83,889,903,806
84,816,875,793
85,880,891,780
86,824,901,777
87,833,931,682
88,797,849,740
89,849,901,691
90,857,1039,736
91,837,1005,629
92,806,942,648
93,809,892,672
94,768,971,631
95,752,929,595
96,784,908,643
97,800,913,633
98,813,895,585
99,772,890,637
100,693,838,596
101,736,887,627
102,755,821,631
103,737,869,617
104,722,870,614
105,750,829,584
106,745,831,556
107,742,917,544
108,695,837,498
109,761,828,485
110,718,855,525
111,755,873,474
112,779,805,417
113,725,800,448
114,756,765,429
115,705,730,429
116,673,709,391
117,663,755,420
118,690,659,436
119,722,644,354
120,652,659,366
121,715,592,390
122,632,672,385
123,641,604,399
124,597,590,373
125,586,607,345
126,625,599,395
127,628,540,368
128,589,505,368
129,598,524,337
130,607,482,337
131,547,480,312
132,546,440,333
133,581,527,334
134,568,458,315
135,521,475,286
136,522,443,276
137,526,437,324
138,490,400,248
139,516,483,256
140,502,435,254
141,474,463,274
142,459,437,261
143,470,440,241
144,444,439,264
145,484,415,248
146,428,369,255
147,450,384,270
148,395,417,247
149,384,419,265
150,401,394,239
151,381,388,259
152,425,357,245
153,387,399,251
154,428,366,249
155,393,366,232
156,386,387,257
157,416,384,244
158,381,365,218
159,387,374,227
160,391,347,226
161,406,402,231
162,418,387,248
163,368,363,220
164,395,367,199
165,387,355,255
166,373,398,231
167,408,395,199
168,415,365,226
169,404,408,241
170,424,381,222
171,372,443,225
172,429,458,224
173,424,423,184
174,382,416,207
175,381,423,196
176,391,413,215
177,365,386,216
178,366,376,232
179,395,408,206
180,369,415,215
181,394,401,231
182,406,362,216
183,376,393,236
184,385,385,213
185,388,351,200
186,377,378,222
187,414,420,237
188,401,396,214
189,433,377,231
190,452,383,229
191,461,412,264
192,439,395,242
193,416,440,242
194,402,403,250
195,413,408,241
196,447,377,246
197,478,410,218
198,499,425,230
199,541,403,249
200,524,416,215
201,480,419,222
202,543,389,225
203,563,401,233
204,582,425,265
205,557,469,250
206,540,470,238
207,575,515,253
208,675,464,282
209,676,464,252
210,674,540,307
211,741,515,276
212,748,558,254
213,748,523,293
214,813,589,266
215,766,676,277
216,760,694,338
217,751,728,287
218,771,717,283
219,724,671,292
220,656,693,270
221,641,653,287
222,656,621,293
223,592,630,256
224,551,724,216
225,498,699,233
226,483,707,220
227,471,725,223
228,486,797,220
229,498,762,228
230,477,860,210
231,480,972,246
232,483,1081,224
233,485,1058,291
234,448,1014,296
235,515,1000,294
236,479,1001,292
237,477,988,253
238,526,1074,257
239,568,1014,219
240,610,1040,187
241,599,919,136
242,672,945,144
243,667,870,111
244,643,701,102
245,624,658,129
246,627,535,93
247,582,490,107
248,600,502,88
249,503,487,66
250,491,397,63
251,507,429,47
252,490,431,52
253,496,327,32
254,362,184,33
255,307,106,56
Mean,130.81,136.03,84.29
STD,66.79,67.96,61.4
